feature,importance,importance_std
accel_magnitude_std,0.13,0.0
noise_score_x,0.13,0.0
accel_magnitude_energy,0.1166666666666667,0.0
accel_magnitude_median,0.1133333333333334,0.0
accel_magnitude_mean,0.10666666666666669,0.0
gyro_z_energy,0.07666666666666677,0.0
gyro_z_std,0.07000000000000006,0.0
accel_x_energy,0.06000000000000005,0.0
gyro_z_range,0.036666666666666736,0.0
gyro_y_std,0.036666666666666736,0.0
gyro_magnitude_median,0.03333333333333344,0.0
gyro_z_min,0.030000000000000027,0.0
gyro_z_max,0.026666666666666727,0.0
accel_magnitude_max,0.023333333333333428,0.0
gyro_y_energy,0.023333333333333428,0.0
gyro_magnitude_mean,0.020000000000000018,0.0
accel_y_energy,0.020000000000000018,0.0
gyro_y_max,0.01666666666666672,0.0
gyro_magnitude_energy,0.01666666666666672,0.0
gyro_magnitude_min,0.01666666666666672,0.0
gyro_y_min,0.01333333333333342,0.0
accel_z_range,0.01333333333333342,0.0
accel_magnitude_range,0.01333333333333342,0.0
gyro_y_range,0.01333333333333342,0.0
accel_x_range,0.010000000000000009,0.0
accel_z_energy,0.010000000000000009,0.0
accel_x_std,0.010000000000000009,0.0
gyro_z_median,0.010000000000000009,0.0
accel_z_std,0.010000000000000009,0.0
accel_magnitude_min,0.00666666666666671,0.0
accel_x_max,0.00666666666666671,0.0
accel_y_std,0.00666666666666671,0.0
gyro_y_mean,0.0033333333333334103,0.0
accel_x_mean,0.0033333333333334103,0.0
accel_y_range,0.0033333333333334103,0.0
accel_x_min,0.0033333333333334103,0.0
accel_x_median,0.0,0.0
accel_z_mean,0.0,0.0
accel_z_min,0.0,0.0
accel_y_median,0.0,0.0
accel_y_mean,0.0,0.0
accel_y_min,0.0,0.0
gyro_x_median,0.0,0.0
accel_z_median,0.0,0.0
accel_z_max,0.0,0.0
gyro_z_mean,0.0,0.0
gyro_x_mean,0.0,0.0
gyro_y_median,0.0,0.0
accel_y_max,-0.0033333333333332993,0.0
gyro_x_std,-0.0033333333333332993,0.0
gyro_x_energy,-0.0033333333333332993,0.0
gyro_x_min,-0.0033333333333332993,0.0
gyro_x_max,-0.006666666666666599,0.0
gyro_x_range,-0.006666666666666599,0.0
gyro_magnitude_max,-0.006666666666666599,0.0
gyro_magnitude_std,-0.006666666666666599,0.0
gyro_magnitude_range,-0.006666666666666599,0.0
noise_score_y,-0.006666666666666599,0.0
